Gender,Attendance,Hours_Studied,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Physical_Activity,Learning_Disabilities,Exam_Score,Tutoring_Sessions,Motivation_Level,Teacher_Quality
Male,69,20,Medium,Yes,8,96,3,No,67,2,Medium,High
Female,60,14,Medium,No,5,50,3,No,61,2,Medium,Medium
Female,65,25,Medium,No,5,90,3,No,68,2,Medium,Medium
Male,72,13,Medium,No,6,93,3,No,61,1,Low,Medium
Female,65,21,Low,Yes,7,91,3,No,64,2,Low,High
Female,99,8,Medium,No,9,54,5,No,67,2,Low,Medium
Female,72,12,Medium,Yes,8,84,5,No,63,1,Medium,Medium
Male,65,21,Medium,Yes,6,98,4,No,64,1,Low,High
Male,68,24,Medium,No,8,56,1,No,67,3,Low,High
Female,84,21,Medium,Yes,6,52,2,Yes,65,1,Low,High
Male,63,19,High,No,7,94,3,No,64,1,Medium,Medium
Male,94,18,High,Yes,7,82,2,Yes,70,3,Medium,Medium
Male,98,11,Medium,Yes,9,82,3,No,68,1,Low,Medium
Male,70,16,Medium,Yes,8,98,3,No,65,2,Medium,Medium
Female,78,17,Medium,Yes,6,88,3,No,68,1,Medium,High
Female,61,26,Low,Yes,6,70,3,No,64,2,Medium,Medium
Male,86,22,Medium,Yes,7,72,2,No,68,3,Low,High
Male,77,9,Medium,No,5,57,3,No,63,2,Medium,High
Male,71,22,Medium,Yes,7,65,4,No,64,1,Low,Low
Male,68,18,Medium,No,7,72,3,No,64,0,Medium,Medium
Male,86,16,Medium,Yes,8,63,4,No,67,2,Medium,Medium
Female,77,24,Low,No,8,96,3,No,67,0,Medium,Medium
Female,67,26,High,Yes,7,51,4,Yes,66,2,Low,High
Male,88,26,High,Yes,5,79,4,No,72,1,Medium,High
Female,83,15,High,No,5,89,2,Yes,65,1,Low,High
Male,94,18,Medium,Yes,6,87,4,No,71,1,High,Medium
Female,65,22,Low,No,8,82,1,No,66,2,Medium,High
Male,91,26,Low,Yes,8,71,3,No,68,0,Medium,Medium
Female,87,17,Medium,No,7,96,5,No,70,1,Medium,Medium
Male,65,19,Medium,Yes,10,66,3,No,62,0,Low,Medium
Male,88,13,High,Yes,9,88,4,No,68,2,High,High
Male,78,13,High,Yes,9,96,3,No,67,2,High,Medium
Male,98,25,High,Yes,8,56,3,No,71,0,Medium,High
Male,66,28,High,Yes,8,97,2,No,68,0,Medium,Medium
Male,86,20,Medium,Yes,8,89,3,No,69,1,Medium,Medium
Male,75,26,High,Yes,4,81,2,No,70,3,High,High
Female,98,22,High,No,5,69,4,No,69,1,Low,High
Male,73,16,Medium,No,7,95,4,No,65,1,Medium,Medium
Female,98,22,Low,Yes,7,52,3,No,70,3,Medium,Medium
Male,96,29,Low,Yes,7,72,3,No,71,1,Medium,Medium
Female,71,20,Medium,Yes,7,88,4,No,65,1,Medium,Low
Female,92,29,Medium,No,4,91,1,No,72,2,Medium,Medium
Male,100,4,High,Yes,8,60,4,No,69,0,High,High
Female,70,25,Medium,No,7,52,3,No,66,1,Medium,Medium
Male,77,21,Medium,Yes,7,90,3,No,68,4,Medium,Medium
Female,81,18,Low,Yes,8,71,3,No,65,0,Medium,Medium
Male,72,21,Medium,Yes,5,57,5,Yes,64,1,Medium,Medium
Male,61,8,Medium,Yes,7,54,3,No,60,1,Medium,Medium
Male,69,19,High,Yes,7,82,2,No,65,1,High,Medium
Male,71,22,Medium,No,6,79,3,No,66,1,High,Low
Male,78,29,High,Yes,4,93,3,No,74,5,Low,High
Female,67,17,Medium,Yes,5,52,3,No,62,2,High,Medium
Male,95,15,Medium,No,7,93,4,No,70,2,Medium,Medium
Male,88,17,High,Yes,7,94,3,No,69,0,Low,Medium
Male,63,25,High,Yes,7,72,4,No,67,3,Medium,High
Male,86,22,Low,No,6,54,0,No,64,2,Medium,Medium
Male,86,17,High,No,5,97,3,No,71,3,High,Medium
Female,98,23,Low,Yes,7,54,3,No,68,0,Low,Medium
Male,60,21,Medium,No,7,80,4,Yes,64,0,Medium,High
Female,70,26,Low,Yes,8,75,4,Yes,63,1,Medium,Low
Male,97,16,Medium,Yes,6,92,4,No,71,0,Low,Medium
Male,97,18,Medium,Yes,4,75,3,No,69,0,Low,Medium
Female,89,18,Medium,Yes,4,73,2,No,100,3,Medium,Medium
Male,91,11,Medium,No,6,94,3,No,68,3,Medium,Medium
Male,64,22,Medium,No,7,98,3,No,62,1,Low,Medium
Female,81,22,Medium,Yes,7,77,3,No,68,2,Low,Medium
Male,69,20,High,Yes,6,73,3,No,66,2,Medium,Medium
Male,67,19,Medium,No,5,92,3,No,64,0,High,Medium
Male,92,12,Medium,No,4,92,3,Yes,67,2,High,High
Female,65,17,High,Yes,8,66,4,Yes,65,1,Medium,High
Male,79,18,Medium,Yes,7,79,3,No,65,0,Medium,High
Male,98,15,Medium,No,6,58,3,No,69,0,High,High
Male,67,19,Medium,No,5,82,3,No,63,1,High,Low
Male,99,22,Low,Yes,6,92,4,No,72,3,Low,Medium
Male,100,31,Medium,No,7,59,5,No,76,2,Medium,High
Female,82,21,High,Yes,7,66,3,Yes,69,3,High,Medium
Female,67,22,Medium,Yes,7,72,2,No,67,3,High,High
Male,73,20,Medium,Yes,9,92,3,No,69,2,Medium,High
Male,77,8,Medium,Yes,6,87,2,No,63,0,Medium,Medium
Male,72,20,Medium,No,9,66,3,No,67,3,Medium,High
Male,71,20,High,Yes,7,62,5,No,66,2,High,Medium
Female,99,35,High,Yes,7,85,2,No,79,2,Low,High
Female,66,19,Medium,No,8,74,3,No,64,1,Medium,Medium
Female,89,22,High,Yes,6,80,3,No,73,1,Medium,High
Male,60,20,High,No,7,82,4,Yes,63,2,High,High
Male,84,13,Medium,No,5,78,2,No,65,1,Medium,High
Female,97,27,High,Yes,8,81,5,No,73,0,Medium,Medium
Female,72,25,High,Yes,8,94,4,No,70,2,Low,Medium
Female,67,25,Medium,No,9,93,3,Yes,68,2,High,High
Male,86,15,Medium,Yes,7,57,3,No,65,1,Medium,Medium
Female,89,28,High,Yes,9,79,1,No,71,0,High,Medium
Male,88,12,Medium,No,6,72,2,No,64,2,Low,Medium
Male,73,24,High,Yes,8,64,3,Yes,68,4,Medium,Medium
Male,70,33,Medium,Yes,6,82,4,No,69,1,Low,High
Female,98,14,Medium,No,7,76,4,No,69,0,Medium,High
Male,97,17,Medium,No,8,89,4,No,69,1,Medium,Medium
Male,78,21,Medium,Yes,10,55,2,No,67,1,Medium,Low
Female,94,17,Medium,Yes,8,65,6,No,68,4,Low,Medium
Male,78,11,High,Yes,8,51,3,No,64,2,Medium,Medium
Female,77,20,Medium,No,6,87,4,No,66,0,Low,High
Male,66,14,Low,No,7,96,3,No,63,3,Medium,High
Male,77,23,Medium,Yes,7,79,2,No,66,0,Medium,High
Female,81,14,Medium,No,9,81,3,No,66,1,Medium,High
Female,61,29,High,Yes,7,52,3,No,67,3,Low,Medium
Male,78,15,High,No,9,75,1,No,65,1,Low,Medium
Female,91,18,Medium,Yes,5,76,3,No,68,1,Medium,Medium
Male,87,25,Low,No,9,52,2,No,68,1,High,High
Male,85,13,Medium,No,6,89,1,Yes,65,0,Medium,Medium
Male,96,21,Medium,No,8,64,0,No,71,2,High,High
Male,61,28,High,No,6,86,3,Yes,65,1,High,Medium
Female,82,10,Low,No,8,70,1,Yes,64,3,Medium,High
Female,91,21,Medium,No,6,100,2,No,72,0,Medium,Medium
Female,82,22,Medium,No,9,61,2,Yes,65,2,Medium,Medium
Female,73,25,High,No,8,53,5,No,66,0,High,High
Male,65,13,High,No,6,99,4,No,61,0,Medium,Medium
Female,96,12,High,Yes,8,62,3,No,68,2,Medium,High
Female,79,23,High,Yes,8,82,3,Yes,69,3,Low,Medium
Female,95,22,High,Yes,6,69,3,No,72,1,Medium,Medium
Female,83,22,High,Yes,5,82,3,No,71,2,Medium,High
Female,87,22,High,No,5,80,3,No,70,2,Low,High
Male,92,16,High,Yes,5,85,2,No,68,1,Low,Medium
Female,86,21,Medium,Yes,5,51,2,No,67,2,Medium,High
Female,76,22,Medium,Yes,8,92,4,No,68,1,Medium,High
Female,81,16,Medium,Yes,8,74,2,No,68,3,Medium,Medium
Male,92,31,Medium,Yes,4,76,4,Yes,72,2,Medium,High
Male,75,23,High,No,6,71,2,No,65,0,Low,Medium
Female,76,13,High,No,5,99,4,No,66,2,Low,Medium
Male,64,24,Medium,Yes,8,90,3,No,65,0,High,High
Female,97,14,Medium,Yes,6,66,3,Yes,67,2,Medium,Medium
Male,64,25,High,No,5,89,4,No,66,2,Low,Medium
Male,86,27,Medium,No,7,72,4,No,69,1,Low,High
Male,77,15,Medium,Yes,8,94,3,No,66,0,Low,High
Male,76,26,High,Yes,6,52,3,No,69,4,Medium,Low
Male,87,22,Low,Yes,7,68,2,No,67,0,Medium,Medium
Male,63,25,Medium,Yes,6,71,3,No,66,1,Medium,Low
Male,84,31,Medium,Yes,9,87,3,No,71,2,Medium,Medium
Male,91,19,Low,No,6,59,4,No,70,5,Medium,High
Male,93,15,Medium,No,6,64,4,No,71,2,Medium,High
Male,67,15,Medium,Yes,7,86,3,No,66,1,High,Medium
Male,96,15,Medium,No,7,54,2,No,67,3,High,High
Female,86,20,Low,No,8,60,4,Yes,66,1,Medium,Medium
Male,95,22,High,No,9,88,2,No,72,0,Low,High
Male,79,22,Medium,No,9,94,3,No,68,1,Medium,Medium
Female,82,25,Medium,No,6,86,3,No,69,3,Medium,High
Male,97,20,Medium,Yes,7,76,3,No,71,2,Low,Low
Female,96,29,Medium,Yes,9,55,2,No,70,0,Low,Medium
Female,78,18,Medium,No,9,91,4,No,67,2,High,Low
Male,71,36,Medium,Yes,6,56,2,No,69,2,Medium,Medium
Male,76,24,High,No,8,69,1,No,65,2,Low,Medium
Male,76,15,High,No,8,53,4,No,65,1,Medium,Medium
Male,71,14,Medium,Yes,8,85,4,No,64,2,Low,High
Male,71,23,Low,Yes,9,75,2,No,63,1,Low,Medium
Male,94,19,Medium,Yes,5,95,2,No,69,3,Medium,Low
Female,63,24,Low,Yes,6,57,5,No,64,1,Medium,High
Male,87,23,High,Yes,8,91,3,No,72,0,High,Medium
Male,67,20,Medium,Yes,7,76,4,No,63,0,Medium,Medium
Female,74,15,High,Yes,4,68,3,No,64,3,Low,Medium
Male,62,11,High,Yes,5,82,4,No,64,3,Medium,Medium
Male,71,17,Medium,Yes,8,90,1,No,67,5,Medium,Medium
Male,91,25,Medium,No,8,72,0,No,71,2,Low,High
Male,95,21,Medium,No,5,62,4,No,70,1,High,Low
Female,69,13,Low,Yes,9,96,4,No,61,0,Low,Medium
Male,79,21,High,Yes,7,66,4,No,67,2,Low,Medium
Male,79,22,Medium,No,5,100,3,No,72,4,Medium,High
Male,95,15,Low,Yes,6,88,5,No,66,1,Low,Medium
Male,91,21,High,Yes,5,84,2,No,70,1,Medium,Low
Male,81,20,Medium,Yes,6,51,4,Yes,67,3,High,Medium
Female,87,13,Low,Yes,4,72,3,No,67,2,Medium,High
Female,94,22,Medium,Yes,7,75,2,No,71,2,High,Medium
Male,60,23,Medium,Yes,8,69,4,No,66,1,Medium,Medium
Male,76,26,Medium,Yes,5,57,4,No,68,1,Medium,Medium
Female,96,26,Medium,Yes,7,68,3,No,74,3,Medium,Medium
Male,90,12,Low,Yes,6,54,3,No,64,1,Medium,Medium
Male,82,14,Medium,No,8,65,3,No,65,1,Medium,Medium
Male,81,23,Medium,Yes,4,54,3,No,66,1,Medium,Medium
Male,74,23,High,Yes,8,88,3,Yes,66,0,Low,High
Male,81,23,Low,No,4,84,5,No,68,2,Medium,Medium
Female,86,43,Medium,Yes,7,97,1,No,78,2,Medium,High
Female,77,23,High,Yes,6,69,2,No,67,1,Low,Medium
Male,89,27,High,Yes,6,89,3,No,74,3,Medium,Medium
Male,94,26,High,No,5,79,2,No,74,1,High,High
Female,66,24,Low,No,9,82,2,Yes,62,1,Low,Medium
Male,78,18,Medium,Yes,5,77,4,No,66,2,Medium,Medium
Female,76,25,Medium,Yes,5,89,3,No,69,3,High,High
Male,87,15,High,Yes,10,52,3,No,68,2,Medium,High
Male,70,19,Low,No,7,54,2,Yes,89,0,High,Medium
Male,86,17,Low,No,5,55,4,No,66,2,Low,Medium
Female,95,20,Medium,Yes,7,64,3,No,68,2,Low,High
Male,77,34,Low,Yes,7,80,3,No,69,0,Low,Medium
Male,96,9,Medium,Yes,4,82,4,No,67,0,High,Medium
Male,100,24,High,Yes,6,86,5,No,75,2,Low,Medium
Female,64,10,High,No,7,64,4,Yes,60,0,High,Medium
Female,69,17,Medium,Yes,9,83,4,Yes,66,2,Medium,High
Female,98,27,High,Yes,7,56,3,No,73,1,Low,Medium
Female,98,20,Low,No,7,50,2,No,68,1,Low,High
Male,64,14,Medium,Yes,6,85,3,No,62,0,Medium,Medium
Male,61,16,Medium,No,9,86,2,No,62,2,Low,High
Male,66,24,Low,Yes,8,81,4,No,65,1,High,Medium
Male,100,16,Low,Yes,8,63,3,No,69,2,High,Medium
Female,67,21,Medium,No,7,96,2,No,64,3,Low,Medium
Female,80,20,High,No,5,94,4,Yes,67,0,Medium,Low
Male,94,16,High,Yes,9,76,2,No,70,0,Medium,High
Female,61,33,Medium,No,7,99,3,No,70,2,High,High
Female,84,24,Low,No,7,65,3,No,69,3,Low,High
Male,71,8,Low,No,8,75,3,No,61,0,Medium,High
Male,94,21,Medium,No,7,96,2,Yes,69,0,Low,Medium
Male,71,16,Medium,Yes,5,73,0,Yes,63,1,Medium,Medium
Male,87,25,Low,Yes,7,74,4,Yes,67,0,Low,High
Male,87,15,Medium,No,4,54,6,No,65,1,Medium,Medium
Male,69,19,Medium,Yes,7,61,4,No,66,3,High,High
Male,61,23,Medium,No,9,58,2,No,63,4,Medium,Medium
Female,76,25,High,Yes,4,78,3,No,68,2,Medium,Medium
Male,72,13,High,No,7,66,4,No,65,0,Medium,High
Male,92,18,Medium,Yes,8,54,3,No,67,1,Medium,Medium
Female,92,17,Low,Yes,8,75,3,No,68,2,Medium,High
Male,78,16,High,No,6,83,3,Yes,64,0,Medium,Low
Male,84,31,Medium,No,5,87,3,No,71,0,High,Medium
Female,84,22,Medium,Yes,6,92,5,No,69,0,Low,Medium
Male,93,12,Medium,Yes,9,74,3,No,67,1,Low,Medium
Female,77,26,Medium,No,4,70,3,Yes,65,2,Low,Low
Male,71,33,Medium,No,5,84,2,No,68,1,Medium,Medium
Male,71,26,Medium,Yes,6,51,3,No,67,1,Low,Medium
Male,81,11,Medium,Yes,6,82,4,No,67,3,High,High
Male,78,17,High,Yes,7,70,3,No,66,2,Medium,High
Female,78,28,Medium,No,9,73,4,No,70,2,High,Medium
Female,64,16,Low,Yes,5,65,4,No,65,3,Medium,High
Female,89,23,Low,Yes,7,56,4,No,69,4,Low,Low
Female,69,25,Medium,Yes,7,70,4,No,65,1,Low,High
Male,68,14,Medium,No,6,65,3,Yes,63,1,Medium,Medium
Female,77,20,Medium,No,5,98,2,No,67,2,Low,High
Female,69,1,Medium,Yes,6,97,3,No,61,1,Medium,Medium
Female,83,14,Low,Yes,6,82,2,No,65,0,Medium,Medium
Female,75,18,High,Yes,8,95,2,No,66,1,Medium,Low
Male,78,13,High,Yes,8,88,3,No,66,0,High,Low
Male,81,30,Low,Yes,5,67,1,No,69,1,Medium,High
Female,68,11,Medium,No,6,80,3,No,63,2,Medium,Medium
Male,66,17,High,No,6,61,6,No,65,1,Medium,Medium
Male,95,21,Low,No,10,84,4,Yes,67,0,Low,Medium
Female,77,29,High,Yes,7,52,3,Yes,69,2,Medium,Medium
Male,76,11,Medium,Yes,5,92,2,No,65,4,Medium,Low
Male,61,27,Medium,No,6,79,3,No,65,1,Medium,Medium
Male,80,20,Low,Yes,6,53,2,No,65,0,Medium,Medium
Female,82,14,High,Yes,8,94,5,No,67,2,Low,High
Male,82,23,Medium,Yes,8,94,2,Yes,66,1,Medium,Medium
Female,88,21,High,No,7,93,3,No,72,4,Medium,Medium
Male,67,16,High,No,7,89,3,No,66,3,High,Medium
Male,70,20,Medium,Yes,7,84,4,No,65,2,Low,High
Male,92,18,Medium,Yes,7,70,3,No,69,1,Medium,Medium
Female,98,21,Low,No,4,57,2,No,68,2,Medium,Low
Male,65,24,Low,No,7,64,1,No,64,1,Low,Medium
Female,80,30,High,No,6,67,4,No,69,3,Medium,Medium
Female,69,13,Low,Yes,5,68,1,Yes,59,0,Low,Medium
Female,62,33,Medium,Yes,10,78,3,No,68,0,Medium,Medium
Female,73,8,Medium,No,7,60,3,No,60,0,Medium,Medium
Male,66,19,High,No,7,59,3,No,62,1,Medium,Medium
Male,88,24,Medium,Yes,6,86,3,No,67,0,Low,Low
Female,81,22,High,Yes,8,50,5,No,68,4,High,Medium
Female,66,16,High,Yes,5,57,3,No,64,3,High,Medium
Female,60,19,High,Yes,7,72,3,No,65,3,High,High
Female,92,17,Low,Yes,6,57,2,Yes,65,2,Medium,Medium
Female,67,16,Medium,No,8,98,3,No,63,0,Medium,Low
Male,84,25,Low,Yes,6,84,3,No,70,2,Low,High
Female,73,22,Medium,Yes,9,72,3,No,66,3,Low,Medium
Female,83,16,High,Yes,7,56,3,No,68,4,Low,Medium
Female,73,25,Low,No,8,69,3,No,66,3,Medium,Medium
Male,63,22,Low,No,8,83,1,No,63,3,Medium,Medium
Female,69,25,Medium,Yes,9,98,3,Yes,66,1,Medium,Medium
Female,68,24,Medium,Yes,6,74,3,No,65,1,Medium,Medium
Male,77,15,Medium,Yes,8,85,2,No,66,1,High,Medium
Female,86,17,Low,Yes,4,60,3,Yes,67,2,High,Low
Male,71,24,Medium,Yes,7,81,3,No,66,0,Medium,Medium
Female,60,24,Medium,No,6,62,3,No,63,4,High,High
Male,81,20,Medium,Yes,5,60,4,Yes,66,3,Low,Medium
Male,84,21,Medium,No,6,75,3,No,67,1,Low,Medium
Male,99,28,Medium,Yes,6,61,3,No,71,1,Medium,Medium
Female,84,16,High,Yes,7,86,2,No,67,1,Medium,Medium
Male,79,23,High,Yes,6,97,4,No,69,1,Medium,Low
Female,83,19,Medium,Yes,7,70,4,Yes,67,2,Medium,Medium
Female,97,19,Medium,Yes,6,66,2,No,72,2,High,Medium
Female,93,27,Low,No,6,59,4,No,70,2,High,Medium
Male,73,25,High,Yes,7,70,4,No,67,0,Low,Medium
Female,69,25,High,Yes,7,78,3,No,64,0,Medium,High
Female,71,28,Medium,No,8,69,1,No,67,1,High,High
Male,80,20,High,No,8,81,4,No,69,3,Medium,Medium
Male,90,24,Low,No,7,83,3,No,68,0,Medium,Medium
Male,80,18,Medium,No,8,55,3,No,63,2,Low,Low
Female,63,22,High,Yes,7,85,3,No,68,4,Medium,High
Male,89,19,Medium,Yes,7,95,3,No,70,0,Medium,Medium
Male,92,21,Low,Yes,8,51,2,No,66,0,Low,Medium
Female,72,24,High,No,6,78,6,No,68,0,High,High
Male,87,15,Low,Yes,4,80,3,No,67,0,High,Medium
Female,77,33,High,Yes,5,85,5,No,69,0,Medium,Medium
Female,96,14,Low,Yes,9,69,3,Yes,66,0,High,Medium
Male,94,13,Medium,Yes,7,91,3,No,68,3,Low,Medium
Female,81,27,Medium,Yes,7,77,2,Yes,69,2,Medium,Low
Male,88,25,Medium,Yes,7,70,3,No,70,1,Low,Medium
Male,95,24,High,Yes,8,86,3,No,74,1,High,High
Female,80,24,High,Yes,7,96,0,No,70,0,High,High
Male,73,20,Medium,Yes,7,91,2,No,66,1,Low,High
Female,90,15,Medium,Yes,8,97,3,No,69,1,Medium,High
Male,69,20,High,No,6,63,3,No,64,0,Low,Medium
Male,76,16,High,Yes,8,56,1,No,62,1,Medium,Medium
Female,95,26,High,No,7,77,3,No,70,0,Medium,Medium
Male,89,19,Medium,Yes,7,52,4,No,68,2,Medium,Medium
Female,76,15,Medium,Yes,6,84,3,No,65,0,Low,High
Male,69,18,High,No,7,62,3,No,65,3,Low,Medium
Female,74,22,High,Yes,6,73,4,No,71,3,Low,High
Male,71,17,Medium,Yes,9,83,5,No,66,2,Low,Medium
Male,67,15,Medium,No,4,74,3,No,61,0,Medium,Medium
Male,90,21,Medium,Yes,8,62,5,Yes,67,2,Low,High
Male,70,21,High,Yes,4,94,2,No,65,0,Medium,High
Female,78,17,High,No,8,88,3,No,65,0,Medium,Medium
Male,75,17,High,Yes,6,80,5,No,65,1,Medium,Medium
Male,99,21,Medium,No,8,85,4,No,73,4,High,Medium
Male,76,11,Medium,Yes,7,71,2,No,62,1,Medium,Low
Female,63,12,High,Yes,5,69,2,No,60,0,Low,High
Female,64,16,Medium,Yes,9,58,3,No,61,1,Low,Medium
Male,84,19,Medium,Yes,8,90,3,No,67,2,High,Medium
Male,84,22,Medium,No,8,69,4,No,70,3,Medium,High
Male,77,29,High,No,6,85,1,No,69,1,Medium,Medium
Female,77,25,Low,Yes,8,65,5,No,66,0,High,Medium
Male,62,19,Medium,No,5,90,3,No,64,2,Low,High
Male,81,20,Medium,Yes,4,55,2,No,68,1,Medium,Medium
Female,80,14,Medium,Yes,5,81,4,No,67,1,Medium,Medium
Female,66,20,Medium,No,6,90,1,No,64,0,High,Medium
Male,64,18,Medium,Yes,6,83,2,No,65,2,High,Medium
Female,65,22,High,Yes,6,85,3,Yes,66,2,Medium,Medium
Female,64,15,Medium,Yes,6,76,4,Yes,63,2,High,Medium
Female,84,23,Medium,Yes,6,78,2,No,68,2,Low,Low
Male,68,29,High,Yes,4,53,4,No,66,1,Medium,Medium
Male,70,19,Medium,No,7,63,5,No,63,3,Low,Low
Female,67,22,Medium,No,7,86,3,No,63,1,Low,Medium
Male,98,24,Medium,Yes,6,97,4,No,74,1,Medium,Medium
Male,94,18,High,Yes,9,77,2,No,70,1,Low,High
Male,69,21,High,Yes,7,86,3,No,68,2,Medium,Medium
Female,73,20,Medium,Yes,7,84,4,No,66,0,Medium,Medium
Male,68,21,Low,No,8,100,4,No,63,0,Low,Medium
Female,80,15,High,No,5,90,3,No,67,4,Medium,Medium
Male,61,20,Medium,No,7,81,3,No,62,1,Medium,Low
Male,87,23,High,No,8,56,3,No,71,1,Medium,High
Male,81,29,Medium,No,7,68,4,No,72,2,Medium,Medium
Male,96,26,Medium,Yes,5,63,2,No,72,1,Medium,Medium
Female,67,33,Medium,Yes,6,93,3,No,68,0,High,High
Female,92,15,Low,Yes,7,72,5,No,66,1,Low,Medium
Male,92,25,Medium,No,4,77,3,No,70,0,Medium,Medium
Male,65,21,Low,Yes,5,98,4,No,66,2,High,Medium
Female,76,33,Medium,Yes,10,92,3,No,72,1,Low,Medium
Female,67,15,Medium,Yes,8,89,4,No,64,0,Low,High
Female,70,15,Medium,No,9,57,3,No,63,1,Medium,Medium
Female,71,16,Medium,No,8,51,2,No,61,0,Medium,Medium
Male,82,7,High,Yes,8,56,2,No,62,0,Medium,Medium
Female,76,17,High,No,7,87,4,No,68,1,High,High
Male,98,15,Medium,Yes,8,71,3,No,68,1,Low,Medium
Male,65,21,Medium,No,9,56,5,No,63,1,High,Medium
Female,99,22,Low,Yes,8,87,4,No,70,1,Low,Medium
Female,69,31,Low,Yes,7,60,3,No,68,1,Medium,Medium
Female,91,26,Medium,Yes,7,79,5,No,72,1,Medium,Medium
Male,74,17,Medium,Yes,8,87,3,No,67,4,Medium,Low
Male,66,15,High,No,6,80,1,No,61,1,Medium,Medium
Male,94,23,Medium,No,8,100,3,No,69,0,Medium,Medium
Female,72,12,Low,Yes,6,72,2,No,61,2,High,High
Male,86,31,High,Yes,6,66,3,No,75,3,Medium,Medium
Female,83,27,Low,No,5,60,2,No,68,0,Medium,Low
Male,79,17,Low,Yes,6,75,4,No,65,1,Low,High
Female,80,10,Medium,Yes,6,93,3,No,67,4,High,Medium
Female,89,28,High,Yes,10,97,6,No,75,3,High,Low
Male,64,19,Medium,No,6,99,3,No,64,1,Medium,Medium
Male,87,27,Medium,No,8,77,4,No,70,1,Medium,High
Female,96,10,High,No,6,80,4,No,67,0,Medium,Medium
Male,62,16,Medium,Yes,7,79,3,No,63,2,Low,Medium
Female,66,20,High,No,7,73,4,No,65,1,Medium,Medium
Female,89,20,Medium,Yes,4,58,3,No,67,1,Medium,Medium
Male,77,17,High,Yes,5,53,3,No,86,2,Medium,Medium
Female,76,24,High,No,6,72,3,Yes,67,3,High,High
Male,65,14,Medium,No,5,59,4,No,63,1,Low,Medium
Female,80,19,Medium,No,7,94,3,No,66,0,Medium,Low
Male,65,21,High,No,7,88,1,No,65,2,Low,Medium
Female,79,23,Medium,No,5,81,3,No,67,1,Medium,Medium
Male,91,24,Medium,No,7,52,4,No,69,0,Low,High
Male,70,13,High,No,6,81,2,No,66,2,Medium,Low
Male,79,11,Medium,Yes,7,81,2,No,64,1,Medium,Medium
Female,100,28,Low,Yes,6,72,2,No,73,1,Medium,Medium
Male,87,22,Medium,No,8,83,1,No,66,1,Low,Medium
Female,94,16,Medium,No,9,93,4,No,68,1,Low,Medium
Male,77,29,Low,Yes,8,88,4,No,70,0,Low,High
Female,91,21,Medium,No,9,74,2,No,69,2,Medium,Low
Female,62,27,High,Yes,5,63,4,No,67,4,Low,Medium
Male,65,20,Low,No,6,74,3,No,62,0,Low,Medium
Male,68,32,Low,No,8,97,2,No,68,1,High,Medium
Male,76,31,High,Yes,9,91,4,No,72,1,Medium,Medium
Male,94,19,Medium,No,8,51,5,No,69,3,Medium,Low
Male,74,26,Low,No,5,89,2,No,66,3,Low,High
Female,86,24,High,No,6,59,3,No,70,1,Medium,Medium
Male,88,28,Medium,No,8,79,3,No,71,0,Medium,Medium
